"comid","metric","n_years","value_mean","mk_tau","mk_pvalue","sen_slope","trend_direction"
620003068,"cohesion",40,99.9595077404552,-0.146909168218515,0.187664009029,-0.000558261610185778,"sin tendencia"
620003068,"ed",40,8.6458287959994,-0.14433181439012,0.195595602756647,-0.0629646978372651,"sin tendencia"
620003068,"lpi",40,95.2807917406458,-0.140556847374207,0.207918628785803,-0.0423640934589857,"sin tendencia"
620003068,"mesh",40,2548.23565506917,-0.141754460561725,0.203770205060612,-2.30466066466956,"sin tendencia"
620003068,"np",40,5.825,-0.0594374123917115,0.618735755864324,0,"sin tendencia"
620003068,"pd",40,0.207594271575976,-0.0580551469872531,0.62711304001515,0,"sin tendencia"
620003069,"cohesion",40,99.9976873087749,-0.284989395529913,0.0106208728649135,-2.43251749430307e-05,"descenso"
620003069,"ed",40,0.820926497713487,0.38139678924727,0.000606386919147001,0.0116986545858759,"incremento"
620003069,"lpi",40,99.6276036451032,-0.580342041806369,1.83956142288029e-07,-0.0133103010881895,"descenso"
620003069,"mesh",40,1828.89989582049,-0.580342041806369,1.83956142288029e-07,-0.489200000960278,"descenso"
620003069,"np",40,1.175,-0.120148093765837,0.373528929668732,0,"sin tendencia"
620003069,"pd",40,0.0637689529844899,-0.148418233475446,0.269829875096559,0,"sin tendencia"
620003071,"cohesion",40,97.0727716615773,0.565747390279424,2.94703298275331e-07,0.0190995282262145,"incremento"
620003071,"ed",40,31.6547893744475,-0.642719824331046,5.68012984749407e-09,-0.146950075743109,"descenso"
620003071,"lpi",40,11.8527710843374,0.420108674028386,0.000151053756865464,0.015475234270415,"incremento"
620003071,"mesh",40,43.5305511739023,0.581141877089748,1.3895457028526e-07,0.184020006241316,"incremento"
620003071,"np",40,47.975,-0.534945413883608,2.56336652512537e-06,-0.285714285714286,"descenso"
620003071,"pd",40,1.6707004919511,-0.528291863959682,3.41095097323964e-06,-0.00994982798750002,"descenso"
620003101,"cohesion",40,99.8054260965992,0.215384615384615,0.0516880497553147,0.000406380492952433,"sin tendencia"
620003101,"ed",40,20.0997021796005,-0.0564827166281941,0.616327131647527,-0.0146389735412026,"sin tendencia"
620003101,"lpi",40,79.2128994831769,-0.109044281573132,0.327701871290238,-0.0204251443572187,"sin tendencia"
620003101,"mesh",40,1098.36835952573,-0.107692307692308,0.333526103088346,-0.573641630529325,"sin tendencia"
620003101,"np",40,7.95,-0.12440333788203,0.327054666377789,0,"sin tendencia"
620003101,"pd",40,0.454439385180194,-0.129188081646723,0.308560103826554,0,"sin tendencia"
620003119,"cohesion",40,85.35428346704,-0.740218240796434,1.92697909684985e-11,-0.0574497981797497,"descenso"
620003119,"ed",40,21.6565809204769,-0.0154043772622348,0.898007491703648,-0.00144731568747646,"sin tendencia"
620003119,"lpi",40,0.579996315656159,0.332953786917323,0.00300564366039973,0.00162042900431461,"incremento"
620003119,"mesh",40,0.423142824325032,-0.514432434245009,3.15089571565034e-06,-0.00276313640815925,"descenso"
620003119,"np",40,100.4,0.156951660990113,0.167320513700225,0.0983870967741935,"sin tendencia"
620003119,"pd",40,2.50591803234278,0.159589504031963,0.160238655326447,0.00245567729040143,"sin tendencia"
620003127,"cohesion",40,99.711201551928,-0.325641025641026,0.00320135424849328,-0.000701599691430369,"descenso"
620003127,"ed",40,21.3198454292372,-0.212820512820513,0.0545528426741626,-0.116552564251344,"sin tendencia"
620003127,"lpi",40,64.3049701623336,0.0423348387283923,0.709253824535276,0.0120377890273136,"sin tendencia"
620003127,"mesh",40,915.150844857612,0.041025641025641,0.7179633437776,0.331226818868766,"sin tendencia"
620003127,"np",40,14.525,-0.210792849609003,0.0777652423282168,-0.0138888888888889,"sin tendencia"
620003127,"pd",40,0.657003874193123,-0.210792849609003,0.0777652423282168,-0.000628230899018096,"sin tendencia"
620004484,"cohesion",40,99.951848371654,0.0384615384615385,0.735453618117175,2.31983264412201e-05,"sin tendencia"
620004484,"ed",40,18.9891435178557,0.112820512820513,0.310754560425242,0.0789288562601614,"sin tendencia"
620004484,"lpi",40,91.7727272727273,-0.041025641025641,0.7179633437776,-0.00950905800184967,"sin tendencia"
620004484,"mesh",40,3262.31218290349,-0.041025641025641,0.7179633437776,-0.685526194831099,"sin tendencia"
620004484,"np",40,11.525,0.0188003447725608,0.884189266119409,0,"sin tendencia"
620004484,"pd",40,0.297677962066602,0.0188003447725608,0.884189266119409,0,"sin tendencia"
620004485,"cohesion",40,99.9931594605169,0.106478533771411,0.339350337952359,6.35969959540564e-05,"sin tendencia"
620004485,"ed",40,5.13611058653471,-0.0833868035559241,0.455838491604328,-0.0137199354017579,"sin tendencia"
620004485,"lpi",40,98.4794455557265,0.0308087545244695,0.788691483691962,0.00274767546655527,"sin tendencia"
620004485,"mesh",40,3489.17056854757,0.0320718475215093,0.779750791615175,0.195927565136078,"sin tendencia"
620004485,"np",40,1.65,-0.231223411942268,0.0678978574446694,0,"sin tendencia"
620004485,"pd",40,0.0458647609258005,-0.234526603541443,0.064032579421787,0,"sin tendencia"
620005821,"cohesion",40,97.8584381243526,-0.299680005793883,0.00685189890220679,-0.0612509353539482,"descenso"
620005821,"ed",40,46.6213445529262,-0.575665860723309,2.00290770647239e-07,-0.336418031010415,"descenso"
620005821,"lpi",40,50.1451818761966,-0.458288019262273,4.90883516252873e-05,-0.400259018731934,"descenso"
620005821,"mesh",40,83.0187733645109,-0.369133741042251,0.000858139288938831,-1.42603365715501,"descenso"
620005821,"np",40,7.375,0.0503254660450605,0.671537832277079,0,"sin tendencia"
620005821,"pd",40,2.55068019292073,0.0503254660450605,0.671537832277079,0,"sin tendencia"
620005868,"cohesion",40,97.6694304167871,0.395888197569576,0.000346446599542764,0.00731630411701183,"incremento"
620005868,"ed",40,23.7306520785889,-0.362469064008508,0.00105725603062963,-0.122521619758738,"descenso"
620005868,"lpi",40,32.2534046483653,-0.0260104635130608,0.824444769063604,-0.00060767009675245,"sin tendencia"
620005868,"mesh",40,223.668078653418,-0.0488433490507919,0.666319054053275,-0.0111580928571416,"sin tendencia"
620005868,"np",40,46.05,-0.274134916868561,0.015837211573777,-0.180194805194805,"descenso"
620005868,"pd",40,2.14434966890838,-0.274134916868561,0.015837211573777,-0.00839089404687275,"descenso"
620005900,"cohesion",40,95.1071508917271,NA,NA,NA,"sin tendencia"
620005900,"ed",40,0,NA,NA,NA,"sin tendencia"
620005900,"lpi",40,62.0915032679739,NA,NA,NA,"sin tendencia"
620005900,"mesh",40,12.5905901316654,NA,NA,NA,"sin tendencia"
620005900,"np",40,7,NA,NA,NA,"sin tendencia"
620005900,"pd",40,24.7953127598797,NA,NA,NA,"sin tendencia"
620007234,"cohesion",40,96.5340437008966,0.174582942305327,0.115694918639106,0.00231979376145341,"sin tendencia"
620007234,"ed",40,23.2072965850457,-0.204634729919743,0.0655316914936963,-0.019716561134217,"sin tendencia"
620007234,"lpi",40,7.50038711675441,0.430525867184206,0.000107984896694578,0.00825849076081349,"incremento"
620007234,"mesh",40,11.4004106422822,0.269576602089108,0.014875465439524,0.0138671206245739,"incremento"
620007234,"np",40,19.975,-0.238370069802698,0.0402540927137898,-0.0701970443349754,"descenso"
620007234,"pd",40,1.11753329168504,-0.247904872594806,0.0328715388112402,-0.00392728580837174,"descenso"
620007257,"cohesion",40,99.8874122050612,0.00642261950064312,0.962821168134357,1.59124334821438e-06,"sin tendencia"
620007257,"ed",40,21.5049464200272,0.124598818312476,0.263256564790831,0.0226234581449383,"sin tendencia"
620007257,"lpi",40,74.6368802479736,-0.712084615108913,1.15774280441494e-10,-0.0301120614449952,"descenso"
620007257,"mesh",40,3531.78709756566,-0.710341716771129,1.25372569733765e-10,-2.84721327928125,"descenso"
620007257,"np",40,25.925,-0.106943677450458,0.362852783164794,0,"sin tendencia"
620007257,"pd",40,0.408928661642915,-0.0850065128452357,0.470993430127666,0,"sin tendencia"
620007280,"cohesion",40,99.9959520117976,-0.0860631013086178,0.441819164070508,-1.72963035261558e-05,"sin tendencia"
620007280,"ed",40,4.51928188394418,0.236504637509097,0.0329478317914049,0.0350175360147233,"incremento"
620007280,"lpi",40,99.1222373599758,-0.259640960743683,0.0191553417528472,-0.00605510142294605,"descenso"
620007280,"mesh",40,2994.06164611296,-0.258189303925853,0.0197701586290096,-0.365787470130954,"descenso"
620007280,"np",40,1.425,0.117700328945717,0.381297366886745,0,"sin tendencia"
620007280,"pd",40,0.0467626665335544,0.117700328945717,0.381297366886745,0,"sin tendencia"
620008574,"cohesion",40,99.7657052430122,0.148717948717949,0.180287946389303,0.000821930415106597,"sin tendencia"
620008574,"ed",40,35.2878825957691,0.266666666666667,0.0158755471413791,0.163641671660538,"incremento"
620008574,"lpi",40,73.8874107427116,-0.353846153846154,0.00135516234741214,-0.177377541274386,"descenso"
620008574,"mesh",40,1111.34197601969,-0.353846153846154,0.00135516234741214,-5.29541830385669,"descenso"
620008574,"np",40,20.025,0.0197037800467645,0.869999052272242,0,"sin tendencia"
620008574,"pd",40,0.987187222559938,0.0249581213925684,0.833340195326267,0,"sin tendencia"
620008582,"cohesion",40,93.1812552240796,0.0748402672434138,0.506312577913659,0.0149528503249833,"sin tendencia"
620008582,"ed",40,77.7953077488346,-0.0362239949961803,0.752822309508905,-0.0937970915720668,"sin tendencia"
620008582,"lpi",40,52.5185185185185,0.142734324544099,0.210091621032478,0.0823045267489716,"sin tendencia"
620008582,"mesh",40,4.18811488676496,0.0968391106113806,0.388214396857859,0.014686714051262,"sin tendencia"
620008582,"np",40,3.65,0.032888704309239,0.792099782113872,0,"sin tendencia"
620008582,"pd",40,29.3056982245721,0.0128694929905718,0.923640451872873,0,"sin tendencia"
620009972,"cohesion",40,73.7180505367666,-0.628874334128381,1.36967553006252e-08,-0.0980573822501371,"descenso"
620009972,"ed",40,1.31510242876945,0.613933753314374,3.63669265496439e-08,0.0218187546847351,"incremento"
620009972,"lpi",40,0.13543931936973,0.150384123548281,0.261616467878577,0,"sin tendencia"
620009972,"mesh",40,0.00547942935887457,0.456581043639715,4.21015792585524e-05,1.69743743879686e-05,"incremento"
620009972,"np",40,6.4,0.642397259110875,1.08634012701539e-07,0.0794736842105263,"incremento"
620009972,"pd",40,0.264660641436362,0.640930598701946,1.16120009576616e-07,0.00328649316257324,"incremento"
620009985,"cohesion",40,99.5449980439674,-0.188582463426475,0.0889117239345013,-0.000331735898100097,"sin tendencia"
620009985,"ed",40,41.1240876074099,0.699166275968902,2.31872807105499e-10,0.0630004998371374,"incremento"
620009985,"lpi",40,46.4933335192882,-0.581141877089748,1.3895457028526e-07,-0.0303438437660632,"descenso"
