"comid","year","population","basin_area_km2","pop_density"
620003068,1985,3.31890106201172,27.4861424617401,0.120748157608203
620003068,1990,3.80997180938721,27.4861424617401,0.138614278620238
620003068,1995,3.7467200756073,27.4861424617401,0.136313055963478
620003068,2000,3.70340585708618,27.4861424617401,0.134737199381151
620003068,2005,4.37660932540894,27.4861424617401,0.159229667513404
620003068,2010,5.06285619735718,27.4861424617401,0.184196680360095
620003068,2015,5.42922306060791,27.4861424617401,0.197525828448471
620003068,2020,5.95393753051758,27.4861424617401,0.216615974351631
620003068,2025,6.33725738525391,27.4861424617401,0.230561905661196
620003069,1985,0,18.0130642325763,0
620003069,1990,0,18.0130642325763,0
620003069,1995,0,18.0130642325763,0
620003069,2000,0,18.0130642325763,0
620003069,2005,0,18.0130642325763,0
620003069,2010,0,18.0130642325763,0
620003069,2015,0,18.0130642325763,0
620003069,2020,0,18.0130642325763,0
620003069,2025,0,18.0130642325763,0
620003071,1985,847.425109863281,28.1583094341469,30.0950279648404
620003071,1990,958.35205078125,28.1583094341469,34.0344314001706
620003071,1995,1051.63439941406,28.1583094341469,37.3472136838858
620003071,2000,1130.13500976562,28.1583094341469,40.1350447692409
620003071,2005,1198.55932617188,28.1583094341469,42.5650314332582
620003071,2010,1274.33557128906,28.1583094341469,45.2561107856747
620003071,2015,1334.72644042969,28.1583094341469,47.4008016550559
620003071,2020,1385.13806152344,28.1583094341469,49.1910945421927
620003071,2025,1418.68469238281,28.1583094341469,50.3824526717647
620003101,1985,141.2119140625,17.0588736392619,8.27791547370945
620003101,1990,155.595764160156,17.0588736392619,9.12110420948572
620003101,1995,166.681671142578,17.0588736392619,9.77096581329683
620003101,2000,172.453231811523,17.0588736392619,10.109297686256
620003101,2005,183.480041503906,17.0588736392619,10.7556949763446
620003101,2010,197.142242431641,17.0588736392619,11.5565802643562
620003101,2015,209.105026245117,17.0588736392619,12.2578448417515
620003101,2020,220.726837158203,17.0588736392619,12.9391214112865
620003101,2025,224.949584960938,17.0588736392619,13.1866610725813
620003119,1985,8877.1103515625,39.2036845650629,226.435613132994
620003119,1990,9839.8212890625,39.2036845650629,250.992257442849
620003119,1995,10673.00390625,39.2036845650629,272.244918421812
620003119,2000,11312.83984375,39.2036845650629,288.565729707754
620003119,2005,13530.9560546875,39.2036845650629,345.145008812408
620003119,2010,15764.5478515625,39.2036845650629,402.119036168641
620003119,2015,17384.80859375,39.2036845650629,443.448333661036
620003119,2020,17626.740234375,39.2036845650629,449.619479136495
620003119,2025,18058.515625,39.2036845650629,460.63312225232
620003127,1985,261.486480712891,21.6523595706896,12.0765813009525
620003127,1990,294.626708984375,21.6523595706896,13.6071409687472
620003127,1995,320.507385253906,21.6523595706896,14.8024229972502
620003127,2000,340.945373535156,21.6523595706896,15.7463380571551
620003127,2005,359.058258056641,21.6523595706896,16.5828697276343
620003127,2010,379.165161132812,21.6523595706896,17.5114938348835
620003127,2015,391.191497802734,21.6523595706896,18.0669222920297
620003127,2020,390.603515625,21.6523595706896,18.0397667214872
620003127,2025,399.271789550781,21.6523595706896,18.4401052572242
620004484,1985,129.918579101562,38.012022886332,3.41782860359893
620004484,1990,140.122589111328,38.012022886332,3.68627025008217
620004484,1995,148.325134277344,38.012022886332,3.90205842822107
620004484,2000,152.680633544922,38.012022886332,4.01664057715332
620004484,2005,165.75471496582,38.012022886332,4.36058652972718
620004484,2010,180.368911743164,38.012022886332,4.74504901469002
620004484,2015,193.232376098633,38.012022886332,5.08345416597425
620004484,2020,203.25032043457,38.012022886332,5.34700089606789
620004484,2025,207.969284057617,38.012022886332,5.47114487117698
620004485,1985,127.262786865234,35.4888880085669,3.58598970005805
620004485,1990,140.567916870117,35.4888880085669,3.96089944650237
620004485,1995,153.762481689453,35.4888880085669,4.33269370548707
620004485,2000,164.589767456055,35.4888880085669,4.63778316796861
620004485,2005,172.3349609375,35.4888880085669,4.85602594524514
620004485,2010,181.06916809082,35.4888880085669,5.10213698572666
620004485,2015,187.402587890625,35.4888880085669,5.28059903836341
620004485,2020,197.416458129883,35.4888880085669,5.56276821303128
620004485,2025,202.674133300781,35.4888880085669,5.71091811194131
620005821,1985,0.411769032478333,2.63709976492779,0.15614465480399
620005821,1990,0.433705747127533,2.63709976492779,0.164463154900554
620005821,1995,0.439078122377396,2.63709976492779,0.16650038357173
620005821,2000,0.446066677570343,2.63709976492779,0.16915047489019
620005821,2005,0.538816452026367,2.63709976492779,0.204321603297826
620005821,2010,0.627672612667084,2.63709976492779,0.23801625596985
620005821,2015,0.738784909248352,2.63709976492779,0.280150534717666
620005821,2020,0.786889374256134,2.63709976492779,0.298391962534523
620005821,2025,0.803175449371338,2.63709976492779,0.304567714901499
620005868,1985,719.203796386719,20.8362858751827,34.5168904235152
620005868,1990,815.087158203125,20.8362858751827,39.1186396215625
620005868,1995,869.410217285156,20.8362858751827,41.725776968758
620005868,2000,907.244934082031,20.8362858751827,43.5415860348996
620005868,2005,959.79052734375,20.8362858751827,46.063417112496
620005868,2010,1012.26263427734,20.8362858751827,48.5817213461738
620005868,2015,1052.88842773438,20.8362858751827,50.5314831079578
620005868,2020,1091.986328125,20.8362858751827,52.4079163948131
620005868,2025,1117.93090820312,20.8362858751827,53.6530797715081
620005900,1985,0,0.167095700009833,0
620005900,1990,0,0.167095700009833,0
620005900,1995,0,0.167095700009833,0
620005900,2000,0,0.167095700009833,0
620005900,2005,0,0.167095700009833,0
620005900,2010,0,0.167095700009833,0
620005900,2015,0,0.167095700009833,0
620005900,2020,0,0.167095700009833,0
620005900,2025,0,0.167095700009833,0
620007234,1985,3780.248046875,17.4875069331284,216.1684945333
620007234,1990,4414.56494140625,17.4875069331284,252.441068832018
620007234,1995,4264.0537109375,17.4875069331284,243.834282796461
620007234,2000,4083.86499023438,17.4875069331284,233.530428656923
620007234,2005,4204.0166015625,17.4875069331284,240.401139947422
620007234,2010,4339.7392578125,17.4875069331284,248.162260887588
620007234,2015,4448.87548828125,17.4875069331284,254.403072164237
620007234,2020,4643.77099609375,17.4875069331284,265.547914511278
620007234,2025,4762.0244140625,17.4875069331284,272.310080120186
620007257,1985,323.830718994141,62.6628139048135,5.16782919270188
620007257,1990,387.946594238281,62.6628139048135,6.19101776737289
620007257,1995,419.894104003906,62.6628139048135,6.70084979971913
620007257,2000,444.349639892578,62.6628139048135,7.09112170684766
620007257,2005,478.069152832031,62.6628139048135,7.62923212414673
620007257,2010,514.473999023438,62.6628139048135,8.21019623863265
620007257,2015,545.735961914062,62.6628139048135,8.70908802057709
620007257,2020,574.535583496094,62.6628139048135,9.1686847061932
620007257,2025,587.597961425781,62.6628139048135,9.3771397230638
620007280,1985,208.970581054688,29.9262942917835,6.98284187869068
620007280,1990,246.586456298828,29.9262942917835,8.23979253477202
